InvoiceNo;ProductName;ProductCode;CustomerID;Quantity;UnitPrice;Revenue;PaymentMethod;Country;InvoiceDate
INV100023;"LED Desk Lamp";P1010;10027;5;278.26;1391.30;PayPal;France;2/10/2023
INV100024;"Wireless Mouse";P1001;10047;7;255.76;1790.32;UPI;UK;2/2/2023
INV100025;"Bluetooth Speaker";P1004;10171;7;96.74;677.18;"Net Banking";India;4/9/2023
INV100026;"USB Keyboard";P1002;10448;8;86.04;688.32;"Net Banking";Australia;6/30/2024
INV100027;"Noise Cancelling Headphones";P1009;10130;3;40.28;120.84;PayPal;USA;4/6/2024
INV100028;"Bluetooth Speaker";P1004;10254;1;217.91;217.91;"Net Banking";UK;5/17/2024
INV100029;"Noise Cancelling Headphones";P1009;10014;7;16.93;118.51;PayPal;Unknown;7/26/2023
INV100030;"Noise Cancelling Headphones";P1009;10051;3;14.27;42.81;"Credit Card";Australia;8/29/2023
INV100031;"Bluetooth Speaker";P1004;10230;4;272.73;1090.92;"Debit Card";Canada;2/11/2024
INV100032;"Webcam HD";P1005;10242;4;283.14;1132.56;PayPal;Canada;11/29/2024
INV100033;"USB-C Hub";P1008;10044;6;264.74;1588.44;"Credit Card";India;11/12/2024
INV100034;"Gaming Mousepad";P1007;10107;9;36.12;325.08;"Credit Card";India;1/28/2023
INV100035;"Wireless Mouse";P1001;10127;4;268.30;1073.20;"Debit Card";USA;11/27/2023
INV100036;"Bluetooth Speaker";P1004;10189;7;269.35;1885.45;"Debit Card";Germany;8/19/2023
INV100037;"USB Keyboard";P1002;10445;1;85.28;85.28;PayPal;India;10/10/2023
INV100038;"Wireless Mouse";P1001;10358;9;246.31;2216.79;"Net Banking";USA;9/16/2023
INV100039;Unknown;P1008;10317;6;155.67;934.02;"Net Banking";USA;10/10/2024
INV100040;"Wireless Mouse";P1001;10171;5;209.27;1046.35;UPI;Germany;8/22/2023
INV100041;"Gaming Mousepad";P1007;10159;8;283.16;2265.28;"Net Banking";Australia;1/9/2024
INV100042;Unknown;P1003;10317;8;212.39;1699.12;PayPal;Australia;4/23/2023
INV100043;"Wireless Mouse";P1001;10294;1;79.91;79.91;PayPal;Canada;9/25/2023
INV100044;"Laptop Stand";P1003;10112;2;215.12;430.24;PayPal;India;9/4/2024
INV100045;"USB Keyboard";P1002;10001;8;15.88;127.04;"Debit Card";Canada;4/23/2023
INV100046;"LED Desk Lamp";P1010;10384;2;126.26;252.52;PayPal;Canada;8/13/2023
INV100047;"Noise Cancelling Headphones";P1009;10171;3;205.81;617.43;"Debit Card";UK;2/22/2023
INV100048;"Webcam HD";P1005;10202;6;76.41;458.46;"Credit Card";UK;3/14/2024
INV100049;"Wireless Mouse";P1001;10279;8;75.10;600.80;PayPal;India;10/21/2023
INV100050;"Bluetooth Speaker";P1004;10469;5;191.53;957.65;"Debit Card";India;7/17/2023
INV100051;"External Hard Drive";P1006;10325;1;49.46;49.46;PayPal;UK;7/6/2023
INV100052;"Noise Cancelling Headphones";P1009;10345;3;3710.26;11130.78;"Credit Card";Australia;2/7/2024
INV100053;"Laptop Stand";P1003;10351;3;243.80;731.40;UPI;USA;5/28/2023
INV100054;"Webcam HD";P1005;10038;7;56.44;395.08;UPI;Australia;10/1/2024
INV100055;"Noise Cancelling Headphones";P1009;10433;2;252.12;504.24;"Net Banking";India;4/17/2024
INV100056;"Webcam HD";P1005;10098;7;164.73;1153.11;"Debit Card";UK;10/25/2023
INV100058;"Noise Cancelling Headphones";P1009;10384;9;157.41;1416.69;"Debit Card";Germany;1/2/2023
INV100059;"Wireless Mouse";P1001;10232;5;270.62;1353.10;"Credit Card";France;1/9/2023
INV100060;"External Hard Drive";P1006;10130;3;211.61;634.83;PayPal;France;7/27/2023
INV100061;"Gaming Mousepad";P1007;10160;4;266.69;1066.76;"Debit Card";USA;4/30/2023
INV100062;"Laptop Stand";P1003;10455;8;256.02;2048.16;"Net Banking";UK;9/16/2024
INV100063;"Bluetooth Speaker";P1004;10226;4;270.07;1080.28;"Credit Card";France;9/11/2023
INV100064;"USB-C Hub";P1008;10193;9;200.73;1806.57;"Debit Card";UK;12/4/2023
INV100065;"Bluetooth Speaker";P1004;10483;6;137.29;823.74;"Credit Card";France;11/11/2024
INV100066;"Webcam HD";P1005;10276;1;10.33;10.33;PayPal;France;2/2/2024
INV100067;"External Hard Drive";P1006;10134;4;113.11;452.44;PayPal;USA;1/27/2024
INV100068;"Webcam HD";P1005;10175;3;199.00;597.00;UPI;France;2/2/2023
INV100069;"Gaming Mousepad";P1007;10237;3;192.72;578.16;"Debit Card";Canada;1/22/2023
INV100070;"Webcam HD";P1005;10437;6;293.77;1762.62;PayPal;France;7/16/2024
INV100071;"Bluetooth Speaker";P1004;10276;8;191.19;1529.52;PayPal;UK;8/14/2023
INV100072;"External Hard Drive";P1006;10452;1;175.19;175.19;UPI;Canada;4/25/2024
INV100073;"Gaming Mousepad";P1007;10048;3;173.74;521.22;"Net Banking";USA;7/11/2023
INV100074;"Gaming Mousepad";P1007;10476;1;298.39;298.39;"Net Banking";UK;6/7/2023
INV100075;"Noise Cancelling Headphones";P1009;10279;5;265.63;1328.15;PayPal;France;2/6/2023
INV100076;"LED Desk Lamp";P1010;10098;1;168.07;168.07;PayPal;USA;8/29/2024
INV100077;"USB-C Hub";P1008;10468;1;27.23;27.23;"Credit Card";Australia;9/10/2023
INV100078;"Webcam HD";P1005;10127;7;84.20;589.40;"Debit Card";France;11/19/2023
INV100080;"LED Desk Lamp";P1010;10287;3;173.17;519.51;PayPal;Australia;9/17/2024
INV100081;"Bluetooth Speaker";P1004;10154;6;110.80;664.80;"Credit Card";USA;9/30/2024
INV100082;"USB Keyboard";P1002;10416;2;100.15;200.30;PayPal;Australia;4/14/2023
INV100083;"USB-C Hub";P1008;10038;9;212.23;1910.07;"Debit Card";Germany;6/25/2023
INV100084;"USB-C Hub";P1008;10012;7;128.84;901.88;"Net Banking";France;2/12/2024
INV100085;"LED Desk Lamp";P1010;10019;7;152.95;1070.65;"Net Banking";Canada;11/15/2024
INV100086;"Laptop Stand";P1003;10141;1;25.93;25.93;UPI;USA;2/4/2024
INV100087;"Noise Cancelling Headphones";P1009;10353;3;104.71;314.13;UPI;Australia;4/2/2023
INV100088;"Bluetooth Speaker";P1004;10152;2;134.35;268.70;"Debit Card";USA;2/20/2023
INV100089;"Bluetooth Speaker";P1004;10304;6;179.30;1075.80;"Net Banking";Unknown;12/8/2023
INV100090;"External Hard Drive";P1006;10490;4;16.46;65.84;"Net Banking";Germany;2/23/2023
INV100091;"LED Desk Lamp";P1010;10059;5;159.06;795.30;"Net Banking";Canada;2/22/2023
INV100092;"USB-C Hub";P1008;10046;5;4368.09;21840.45;"Net Banking";France;12/16/2023
INV100093;Unknown;P1009;10268;3;193.04;579.12;"Net Banking";USA;10/17/2024
INV100094;"Bluetooth Speaker";P1004;10146;2;157.31;314.62;"Net Banking";Australia;10/31/2024
INV100095;"Laptop Stand";P1003;10057;1;122.65;122.65;"Credit Card";Canada;8/26/2024
INV100096;"Gaming Mousepad";P1007;10116;7;79.00;553.00;"Debit Card";Germany;4/18/2024
INV100097;"USB-C Hub";P1008;10057;7;131.35;919.45;UPI;Germany;10/2/2024
INV100098;"External Hard Drive";P1006;10125;1;135.49;135.49;"Net Banking";Unknown;4/6/2023
INV100099;"Webcam HD";P1005;10236;6;215.81;1294.86;UPI;India;5/2/2024
INV100100;"Bluetooth Speaker";P1004;10486;5;193.29;966.45;"Credit Card";France;7/8/2023
INV100101;"Bluetooth Speaker";P1004;10450;5;185.46;927.30;"Net Banking";USA;9/4/2023
INV100102;"USB Keyboard";P1002;10284;3;228.56;685.68;UPI;France;11/27/2024
INV100103;"Laptop Stand";P1003;10237;5;32.78;163.90;"Debit Card";France;4/4/2023
INV100104;"Webcam HD";P1005;10473;4;56.72;226.88;"Net Banking";Australia;8/6/2023
INV100105;"Gaming Mousepad";P1007;10253;5;144.67;723.35;"Debit Card";France;10/16/2023
INV100106;"USB Keyboard";P1002;10245;5;122.56;612.80;"Credit Card";France;6/5/2024
INV100107;"LED Desk Lamp";P1010;10222;5;266.57;1332.85;"Credit Card";UK;6/29/2023
INV100108;"Noise Cancelling Headphones";P1009;10492;3;153.43;460.29;"Credit Card";Germany;11/21/2023
INV100109;"Gaming Mousepad";P1007;10246;4;186.68;746.72;"Debit Card";Australia;12/2/2023
INV100110;"Gaming Mousepad";P1007;10474;2;12.82;25.64;PayPal;Canada;6/9/2023
INV100111;"USB-C Hub";P1008;10162;4;174.76;699.04;"Debit Card";UK;11/20/2024
INV100112;"USB Keyboard";P1002;10426;1;140.18;140.18;PayPal;Canada;11/21/2024
INV100113;"Gaming Mousepad";P1007;10416;5;189.65;948.25;"Debit Card";Germany;7/30/2024
INV100114;"External Hard Drive";P1006;10284;8;272.08;2176.64;UPI;Australia;7/9/2024
INV100115;"Noise Cancelling Headphones";P1009;10263;2;3473.02;6946.04;"Net Banking";Australia;3/31/2023
INV100116;"USB-C Hub";P1008;10313;2;81.90;163.80;"Net Banking";Australia;7/15/2023
INV100117;"USB-C Hub";P1008;10412;5;107.76;538.80;"Debit Card";Australia;3/16/2023
INV100118;"Webcam HD";P1005;10248;8;221.85;1774.80;"Net Banking";UK;10/4/2023
INV100119;"Noise Cancelling Headphones";P1009;10407;4;57.34;229.36;"Debit Card";UK;4/1/2024
INV100120;"USB Keyboard";P1002;10465;3;297.20;891.60;"Debit Card";France;7/1/2024
INV100121;"Bluetooth Speaker";P1004;10150;1;234.04;234.04;PayPal;France;10/25/2024
INV100122;"LED Desk Lamp";P1010;10012;5;75.39;376.95;UPI;USA;11/25/2024
INV100123;"Laptop Stand";P1003;10368;7;227.59;1593.13;"Credit Card";India;9/30/2023
INV100124;"Noise Cancelling Headphones";P1009;10396;4;248.80;995.20;"Net Banking";France;12/8/2023
INV100125;"USB Keyboard";P1002;10444;3;119.81;359.43;UPI;Germany;1/31/2024
INV100126;Unknown;P1003;10454;9;254.91;2294.19;"Credit Card";India;9/22/2023
INV100127;"Gaming Mousepad";P1007;10143;4;174.16;696.64;"Debit Card";USA;1/2/2024
INV100128;"LED Desk Lamp";P1010;10024;5;32.05;160.25;"Net Banking";Canada;1/31/2024
INV100129;"LED Desk Lamp";P1010;10052;4;203.39;813.56;"Net Banking";Germany;4/28/2024
INV100130;"USB-C Hub";P1008;10108;7;235.48;1648.36;PayPal;Canada;2/8/2023
INV100131;"Wireless Mouse";P1001;10222;5;150.85;754.25;"Debit Card";USA;2/2/2024
INV100132;"Webcam HD";P1005;10330;5;222.43;1112.15;"Debit Card";India;8/23/2023
INV100133;"Wireless Mouse";P1001;10073;2;290.75;581.50;"Debit Card";India;1/9/2023
INV100134;"Webcam HD";P1005;10173;1;34.83;34.83;"Debit Card";Australia;6/2/2024
INV100135;"Webcam HD";P1005;10193;8;26.47;211.76;"Net Banking";USA;9/25/2024
INV100136;"USB Keyboard";P1002;10338;5;156.43;782.15;"Debit Card";France;2/26/2024
INV100137;"USB Keyboard";P1002;10499;8;115.41;923.28;PayPal;France;12/8/2023
INV100138;"Webcam HD";P1005;10300;1;284.44;284.44;UPI;Germany;8/5/2023
INV100139;"Noise Cancelling Headphones";P1009;10414;4;108.31;433.24;UPI;Germany;9/9/2023
INV100140;"LED Desk Lamp";P1010;10166;3;234.26;702.78;PayPal;France;7/1/2023
INV100141;"LED Desk Lamp";P1010;10172;3;37.80;113.40;PayPal;UK;3/26/2024
INV100142;"Wireless Mouse";P1001;10147;2;143.25;286.50;UPI;Germany;2/27/2023
INV100143;"Laptop Stand";P1003;10422;8;39.67;317.36;"Net Banking";India;12/27/2023
INV100144;"External Hard Drive";P1006;10189;1;205.91;205.91;UPI;USA;12/14/2023
INV100145;"Gaming Mousepad";P1007;10408;9;115.59;1040.31;PayPal;France;1/4/2024
INV100146;"Wireless Mouse";P1001;10133;8;160.87;1286.96;"Net Banking";France;4/27/2023
INV100148;"Wireless Mouse";P1001;10019;5;79.63;398.15;"Net Banking";Australia;10/20/2024
INV100149;"Wireless Mouse";P1001;10304;9;159.31;1433.79;"Net Banking";Germany;8/21/2023
INV100150;"USB Keyboard";P1002;10143;1;190.13;190.13;"Debit Card";Australia;9/16/2023
INV100151;"Webcam HD";P1005;10329;7;18.41;128.87;"Credit Card";France;1/12/2023
INV100152;"USB-C Hub";P1008;10155;8;121.38;971.04;UPI;Australia;2/12/2024
INV100153;"Noise Cancelling Headphones";P1009;10163;5;86.83;434.15;"Debit Card";Germany;12/14/2023
INV100154;"USB-C Hub";P1008;10027;8;109.24;873.92;"Debit Card";Canada;6/27/2023
INV100155;"USB Keyboard";P1002;10446;5;292.45;1462.25;PayPal;France;5/16/2024
INV100156;"Webcam HD";P1005;10219;1;87.53;87.53;PayPal;Canada;4/5/2024
INV100157;"USB-C Hub";P1008;10370;3;247.65;742.95;PayPal;UK;8/16/2024
INV100158;"Noise Cancelling Headphones";P1009;10009;5;185.96;929.80;Unknown;Australia;3/25/2024
INV100159;"LED Desk Lamp";P1010;10364;8;263.62;2108.96;"Net Banking";UK;9/8/2023
INV100160;"Gaming Mousepad";P1007;10064;5;12.78;63.90;"Net Banking";USA;1/9/2024
INV100161;"Wireless Mouse";P1001;10266;2;296.25;592.50;"Net Banking";India;6/26/2023
INV100162;"USB Keyboard";P1002;10341;5;226.13;1130.65;"Debit Card";Germany;8/5/2023
INV100163;"USB Keyboard";P1002;10104;1;252.31;252.31;"Net Banking";Australia;9/1/2024
INV100164;"USB Keyboard";P1002;10495;3;44.49;133.47;UPI;Germany;2/9/2024
INV100165;"USB-C Hub";P1008;10357;7;260.09;1820.63;UPI;Australia;10/6/2024
INV100166;"Bluetooth Speaker";P1004;10164;3;168.85;506.55;"Credit Card";Australia;7/18/2024
INV100168;"Webcam HD";P1005;10448;1;286.45;286.45;PayPal;Germany;3/21/2024
INV100169;"Laptop Stand";P1003;10347;1;228.31;228.31;Unknown;Canada;2/3/2023
INV100170;"USB-C Hub";P1008;10161;8;11.54;92.32;"Net Banking";Unknown;9/7/2023
INV100171;"Webcam HD";P1005;10267;6;232.83;1396.98;PayPal;UK;11/2/2023
INV100172;"Laptop Stand";P1003;10477;1;167.81;167.81;"Net Banking";UK;1/24/2024
INV100173;"Webcam HD";P1005;10406;9;179.04;1611.36;"Net Banking";France;10/30/2023
INV100174;"USB Keyboard";P1002;10074;5;187.99;939.95;UPI;Australia;7/31/2024
INV100175;"Wireless Mouse";P1001;10097;3;271.43;814.29;"Credit Card";Canada;11/2/2023
INV100176;"LED Desk Lamp";P1010;10446;2;120.71;241.42;"Debit Card";France;3/10/2024
INV100177;"LED Desk Lamp";P1010;10480;2;107.74;215.48;"Debit Card";UK;6/15/2023
INV100178;"USB Keyboard";P1002;10246;8;273.59;2188.72;"Credit Card";Germany;6/25/2024
INV100179;"LED Desk Lamp";P1010;10183;3;210.80;632.40;"Net Banking";UK;5/18/2023
INV100180;"Laptop Stand";P1003;10339;1;150.17;150.17;PayPal;UK;5/22/2024
INV100181;"Noise Cancelling Headphones";P1009;10449;8;18.53;148.24;"Net Banking";France;2/22/2023
INV100182;"Webcam HD";P1005;10182;3;163.49;490.47;"Debit Card";India;10/24/2024
INV100183;"Bluetooth Speaker";P1004;10387;6;210.81;1264.86;PayPal;France;12/26/2023
INV100184;"External Hard Drive";P1006;10154;8;126.44;1011.52;"Net Banking";India;7/14/2023
INV100185;"External Hard Drive";P1006;10402;2;182.57;365.14;UPI;France;2/20/2023
INV100186;"USB Keyboard";P1002;10169;5;54.84;274.20;UPI;Canada;8/26/2024
INV100187;"LED Desk Lamp";P1010;10132;6;31.17;187.02;UPI;Australia;5/27/2024
INV100188;"Gaming Mousepad";P1007;10033;9;110.02;990.18;"Credit Card";Germany;2/15/2023
INV100189;"USB Keyboard";P1002;10281;1;153.51;153.51;PayPal;UK;3/14/2023
INV100190;"Gaming Mousepad";P1007;10238;9;146.94;1322.46;"Credit Card";Australia;8/2/2023
INV100191;"USB-C Hub";P1008;10060;8;262.71;2101.68;Unknown;Australia;2/17/2023
INV100192;"Bluetooth Speaker";P1004;10007;1;86.68;86.68;UPI;India;9/14/2023
INV100193;"Noise Cancelling Headphones";P1009;10206;1;181.20;181.20;"Debit Card";UK;11/22/2024
INV100194;"USB Keyboard";P1002;10027;8;147.93;1183.44;PayPal;USA;4/18/2024
INV100195;"Wireless Mouse";P1001;10364;7;161.72;1132.04;PayPal;France;1/21/2024
INV100196;"Bluetooth Speaker";P1004;10110;8;44.27;354.16;"Debit Card";USA;1/3/2023
INV100197;"External Hard Drive";P1006;10492;7;155.94;1091.58;"Debit Card";UK;5/22/2024
INV100198;"Laptop Stand";P1003;10191;2;136.99;273.98;"Credit Card";France;1/15/2023
INV100199;"Laptop Stand";P1003;10440;9;1729.14;15562.26;"Credit Card";Unknown;2/8/2023
INV100200;"Laptop Stand";P1003;10125;1;67.38;67.38;"Credit Card";India;4/18/2024
INV100201;"USB-C Hub";P1008;10024;9;267.71;2409.39;PayPal;Germany;7/31/2023
INV100202;"Bluetooth Speaker";P1004;10108;4;109.76;439.04;PayPal;France;8/21/2023
INV100203;"Webcam HD";P1005;10469;2;30.64;61.28;"Net Banking";Germany;4/21/2023
INV100204;"Gaming Mousepad";P1007;10235;2;169.53;339.06;"Credit Card";India;1/4/2024
INV100205;"External Hard Drive";P1006;10005;3;116.74;350.22;PayPal;Australia;9/4/2024
INV100206;"Noise Cancelling Headphones";P1009;10439;4;195.55;782.20;"Net Banking";UK;3/18/2024
INV100207;"Noise Cancelling Headphones";P1009;10436;6;183.70;1102.20;PayPal;France;10/16/2023
INV100208;"Bluetooth Speaker";P1004;10111;6;71.47;428.82;"Net Banking";France;8/4/2024
INV100209;"Gaming Mousepad";P1007;10317;4;255.99;1023.96;UPI;Australia;3/21/2024
INV100210;Unknown;P1006;10030;8;269.55;2156.40;"Credit Card";India;8/31/2023
INV100211;"USB Keyboard";P1002;10005;8;210.60;1684.80;PayPal;USA;8/11/2023
INV100212;"Wireless Mouse";P1001;10003;2;174.92;349.84;"Net Banking";India;3/16/2023
INV100213;"External Hard Drive";P1006;10485;6;292.64;1755.84;"Credit Card";Australia;8/28/2024
INV100214;"Webcam HD";P1005;10334;3;247.15;741.45;"Debit Card";USA;7/13/2023
INV100215;"USB-C Hub";P1008;10299;8;145.60;1164.80;"Credit Card";UK;6/22/2023
INV100216;"Webcam HD";P1005;10323;5;60.18;300.90;PayPal;France;4/28/2023
INV100217;"LED Desk Lamp";P1010;10112;3;63.85;191.55;UPI;Australia;6/15/2024
INV100218;"Wireless Mouse";P1001;10037;1;185.13;185.13;UPI;UK;11/16/2023
INV100219;"Wireless Mouse";P1001;10355;5;154.30;771.50;"Debit Card";India;5/25/2024
INV100220;"Wireless Mouse";P1001;10009;3;20.29;60.87;UPI;Germany;11/20/2024
INV100221;"Laptop Stand";P1003;10385;5;23.70;118.50;PayPal;Unknown;6/21/2023
INV100222;"USB Keyboard";P1002;10318;8;243.91;1951.28;"Credit Card";India;11/17/2023
INV100223;"Webcam HD";P1005;10418;5;5.80;29.00;UPI;Germany;7/3/2024
INV100224;"Bluetooth Speaker";P1004;10433;1;255.96;255.96;PayPal;UK;8/24/2023
INV100225;"USB-C Hub";P1008;10417;5;220.61;1103.05;"Credit Card";Canada;5/17/2023
INV100226;"Wireless Mouse";P1001;10319;3;24.62;73.86;UPI;France;10/23/2023
INV100228;"Gaming Mousepad";P1007;10338;3;53.46;160.38;UPI;Australia;1/5/2023
INV100229;"USB Keyboard";P1002;10088;4;98.28;393.12;"Credit Card";Germany;2/11/2023
INV100230;"External Hard Drive";P1006;10103;2;245.90;491.80;UPI;Germany;10/22/2023
INV100231;"USB Keyboard";P1002;10062;3;189.11;567.33;"Net Banking";Canada;1/23/2023
INV100232;"External Hard Drive";P1006;10494;1;73.50;73.50;"Net Banking";Canada;8/13/2023
INV100233;"Noise Cancelling Headphones";P1009;10103;7;161.90;1133.30;UPI;USA;9/7/2024
INV100234;"Laptop Stand";P1003;10133;3;165.14;495.42;UPI;USA;7/17/2023
INV100235;"External Hard Drive";P1006;10447;3;190.17;570.51;"Credit Card";USA;7/7/2024
INV100236;"Laptop Stand";P1003;10288;4;239.24;956.96;"Credit Card";France;10/30/2024
INV100237;"Laptop Stand";P1003;10156;4;223.73;894.92;PayPal;Canada;2/24/2024
INV100238;"USB-C Hub";P1008;10438;6;226.96;1361.76;UPI;Canada;2/15/2024
INV100239;"External Hard Drive";P1006;10321;1;14.89;14.89;UPI;UK;8/20/2024
INV100240;"LED Desk Lamp";P1010;10293;5;263.65;1318.25;"Credit Card";Germany;4/28/2023
INV100241;"Wireless Mouse";P1001;10014;4;139.82;559.28;"Credit Card";France;11/26/2024
INV100242;"LED Desk Lamp";P1010;10323;8;49.23;393.84;"Credit Card";France;2/16/2023
INV100243;"USB-C Hub";P1008;10242;2;8.60;17.20;"Net Banking";Canada;9/18/2024
INV100244;"Noise Cancelling Headphones";P1009;10068;4;165.10;660.40;UPI;France;10/10/2023
INV100245;"USB Keyboard";P1002;10133;4;58.57;234.28;"Net Banking";Germany;7/3/2024
INV100246;"Noise Cancelling Headphones";P1009;10301;8;129.96;1039.68;"Net Banking";UK;12/12/2023
INV100247;"Gaming Mousepad";P1007;10103;8;154.24;1233.92;UPI;Unknown;9/14/2024
INV100248;"USB Keyboard";P1002;10375;4;276.03;1104.12;PayPal;UK;5/13/2023
INV100249;"Laptop Stand";P1003;10496;5;213.64;1068.20;UPI;UK;4/16/2023
INV100250;"Gaming Mousepad";P1007;10461;9;130.12;1171.08;"Net Banking";Canada;1/29/2023
INV100251;Unknown;P1006;10256;8;252.93;2023.44;PayPal;Australia;2/11/2024
INV100252;"USB Keyboard";P1002;10419;5;295.53;1477.65;UPI;UK;9/13/2024
INV100253;"Laptop Stand";P1003;10318;6;252.06;1512.36;"Debit Card";USA;1/1/2023
INV100254;"Laptop Stand";P1003;10430;6;158.06;948.36;PayPal;Canada;10/22/2024
INV100255;"Noise Cancelling Headphones";P1009;10435;9;224.55;2020.95;PayPal;USA;7/21/2023
INV100256;"Gaming Mousepad";P1007;10243;9;6.37;57.33;"Debit Card";Canada;7/28/2024
INV100257;"USB-C Hub";P1008;10390;9;259.74;2337.66;PayPal;Germany;1/21/2024
INV100258;"Webcam HD";P1005;10016;2;146.85;293.70;UPI;USA;12/13/2023
INV100259;"USB-C Hub";P1008;10454;3;78.23;234.69;"Net Banking";Canada;1/25/2023
INV100260;"USB-C Hub";P1008;10176;4;128.58;514.32;"Debit Card";Germany;6/10/2023
INV100261;"Bluetooth Speaker";P1004;10048;6;69.93;419.58;"Net Banking";Australia;4/13/2024
INV100262;Unknown;P1006;10176;7;292.78;2049.46;"Credit Card";France;12/27/2023
INV100263;"Webcam HD";P1005;10062;4;127.31;509.24;"Debit Card";Canada;4/20/2024
INV100264;"Gaming Mousepad";P1007;10477;8;153.15;1225.20;"Credit Card";UK;5/21/2023
INV100265;"Gaming Mousepad";P1007;10031;7;130.90;916.30;UPI;India;11/14/2023
INV100266;"Bluetooth Speaker";P1004;10143;1;15.78;15.78;UPI;Australia;10/13/2023
INV100267;"Laptop Stand";P1003;10370;8;178.30;1426.40;"Debit Card";Australia;8/12/2024
INV100269;"Laptop Stand";P1003;10384;6;230.78;1384.68;UPI;India;10/5/2024
INV100270;"Bluetooth Speaker";P1004;10287;8;259.23;2073.84;PayPal;France;10/4/2024
INV100271;"USB-C Hub";P1008;10480;3;194.98;584.94;"Credit Card";Canada;1/15/2024
INV100272;"Noise Cancelling Headphones";P1009;10390;7;293.78;2056.46;PayPal;India;6/27/2023
INV100273;"External Hard Drive";P1006;10254;8;12.99;103.92;PayPal;India;3/18/2024
INV100274;"External Hard Drive";P1006;10228;8;35.71;285.68;PayPal;Canada;8/27/2023
INV100275;"Wireless Mouse";P1001;10494;3;266.80;800.40;UPI;UK;8/26/2024
INV100276;"Wireless Mouse";P1001;10087;8;34.34;274.72;"Credit Card";Australia;4/6/2023
INV100277;"LED Desk Lamp";P1010;10499;8;243.02;1944.16;UPI;Canada;3/27/2024
INV100278;"Laptop Stand";P1003;10329;5;46.62;233.10;"Debit Card";Germany;1/7/2023
INV100279;"Laptop Stand";P1003;10146;7;222.09;1554.63;"Debit Card";UK;3/26/2023
INV100280;"Wireless Mouse";P1001;10081;3;177.00;531.00;PayPal;UK;11/30/2024
INV100281;"Gaming Mousepad";P1007;10233;2;273.63;547.26;"Debit Card";France;6/6/2024
INV100282;"Webcam HD";P1005;10395;2;112.10;224.20;UPI;UK;4/29/2023
INV100283;"USB Keyboard";P1002;10221;4;189.12;756.48;"Net Banking";Germany;9/13/2023
INV100284;"External Hard Drive";P1006;10341;9;133.66;1202.94;PayPal;France;5/14/2024
INV100285;"Webcam HD";P1005;10119;8;38.70;309.60;"Debit Card";Canada;6/7/2023
INV100286;"Noise Cancelling Headphones";P1009;10208;7;240.96;1686.72;UPI;UK;4/25/2023
INV100287;"USB-C Hub";P1008;10280;9;164.78;1483.02;"Net Banking";UK;8/25/2023
INV100288;Unknown;P1001;10234;7;69.32;485.24;UPI;Germany;10/5/2023
INV100289;"Wireless Mouse";P1001;10108;4;44.02;176.08;"Debit Card";France;1/29/2023
INV100290;"Wireless Mouse";P1001;10325;2;85.33;170.66;"Debit Card";India;3/16/2023
INV100291;"USB Keyboard";P1002;10355;2;161.25;322.50;"Credit Card";Canada;2/11/2023
INV100292;"LED Desk Lamp";P1010;10164;9;85.85;772.65;"Credit Card";Germany;1/17/2023
INV100293;"LED Desk Lamp";P1010;10086;9;151.75;1365.75;"Debit Card";UK;8/10/2024
